,baseSetSize,name,totalSetSize,type,releaseYear
10E,382,Tenth Edition,508,core,2007
2ED,302,Unlimited Edition,302,core,1993
3ED,306,Revised Edition,306,core,1994
4ED,378,Fourth Edition,378,core,1995
5DN,165,Fifth Dawn,165,expansion,2004
5ED,449,Fifth Edition,449,core,1997
6ED,350,Classic Sixth Edition,350,core,1999
7ED,350,Seventh Edition,350,core,2001
8ED,350,Eighth Edition,357,core,2003
9ED,350,Ninth Edition,359,core,2005
A25,249,Masters 25,249,masters,2018
AER,184,Aether Revolt,194,expansion,2017
AKH,269,Amonkhet,287,expansion,2017
ALA,249,Shards of Alara,249,expansion,2008
ALL,199,Alliances,199,expansion,1996
ANA,0,Arena New Player Experience,41,starter,2018
APC,143,Apocalypse,143,expansion,2001
ARB,145,Alara Reborn,145,expansion,2009
ARC,0,Archenemy,150,archenemy,2010
ARN,78,Arabian Nights,78,expansion,1993
ATH,0,Anthologies,85,box,1998
ATQ,100,Antiquities,100,expansion,1994
AVR,244,Avacyn Restored,244,expansion,2012
BBD,79,Battlebond,256,draft_innovation,2018
BFZ,299,Battle for Zendikar,299,expansion,2015
BNG,165,Born of the Gods,165,expansion,2014
BOK,165,Betrayers of Kamigawa,165,expansion,2005
BRB,0,Battle Royale Box Set,136,box,1999
BTD,0,Beatdown Box Set,90,box,2000
C13,181,Commander 2013,356,commander,2013
C14,162,Commander 2014,337,commander,2014
C15,167,Commander 2015,342,commander,2015
C16,176,Commander 2016,351,commander,2016
C17,134,Commander 2017,309,commander,2017
C18,132,Commander 2018,307,commander,2018
CED,127,Collectors’ Edition,302,memorabilia,1993
CEI,127,Intl. Collectors’ Edition,302,memorabilia,1993
CHK,307,Champions of Kamigawa,307,expansion,2004
CHR,125,Chronicles,125,masters,1995
CM1,0,Commander's Arsenal,18,commander,2012
CM2,137,Commander Anthology Volume II,312,commander,2018
CMA,145,Commander Anthology,320,commander,2017
CMD,143,Commander 2011,318,commander,2011
CN2,222,Conspiracy: Take the Crown,222,draft_innovation,2016
CNS,210,Conspiracy,210,draft_innovation,2014
CON,145,Conflux,145,expansion,2009
CP1,0,Magic 2015 Clash Pack,6,starter,2014
CP2,0,Fate Reforged Clash Pack,6,starter,2015
CP3,0,Magic Origins Clash Pack,6,starter,2015
CSP,155,Coldsnap,155,expansion,2006
CST,0,Coldsnap Theme Decks,62,box,2006
DD1,0,Duel Decks: Elves vs. Goblins,62,duel_deck,2007
DD2,0,Duel Decks: Jace vs. Chandra,62,duel_deck,2008
DDC,0,Duel Decks: Divine vs. Demonic,62,duel_deck,2009
DDD,0,Duel Decks: Garruk vs. Liliana,63,duel_deck,2009
DDE,0,Duel Decks: Phyrexia vs. the Coalition,71,duel_deck,2010
DDF,0,Duel Decks: Elspeth vs. Tezzeret,79,duel_deck,2010
DDG,0,Duel Decks: Knights vs. Dragons,81,duel_deck,2011
DDH,0,Duel Decks: Ajani vs. Nicol Bolas,80,duel_deck,2011
DDI,0,Duel Decks: Venser vs. Koth,77,duel_deck,2012
DDJ,0,Duel Decks: Izzet vs. Golgari,90,duel_deck,2012
DDK,0,Duel Decks: Sorin vs. Tibalt,80,duel_deck,2013
DDL,0,Duel Decks: Heroes vs. Monsters,81,duel_deck,2013
DDM,0,Duel Decks: Jace vs. Vraska,88,duel_deck,2014
DDN,0,Duel Decks: Speed vs. Cunning,81,duel_deck,2014
DDO,0,Duel Decks: Elspeth vs. Kiora,67,duel_deck,2015
DDP,0,Duel Decks: Zendikar vs. Eldrazi,80,duel_deck,2015
DDQ,0,Duel Decks: Blessed vs. Cursed,80,duel_deck,2016
DDR,0,Duel Decks: Nissa vs. Ob Nixilis,75,duel_deck,2016
DDS,0,Duel Decks: Mind vs. Might,65,duel_deck,2017
DDT,0,Duel Decks: Merfolk vs. Goblins,63,duel_deck,2017
DDU,0,Duel Decks: Elves vs. Inventors,76,duel_deck,2018
DGM,156,Dragon's Maze,156,expansion,2013
DIS,180,Dissension,180,expansion,2006
DKA,158,Dark Ascension,158,expansion,2012
DKM,0,Deckmasters,58,box,2001
DOM,269,Dominaria,280,expansion,2018
DPA,0,Duels of the Planeswalkers,113,box,2010
DRB,0,From the Vault: Dragons,15,from_the_vault,2008
DRK,119,The Dark,119,expansion,1994
DST,165,Darksteel,165,expansion,2004
DTK,264,Dragons of Tarkir,264,expansion,2015
DVD,0,Duel Decks Anthology: Divine vs. Demonic,62,duel_deck,2014
E01,0,Archenemy: Nicol Bolas,106,archenemy,2017
E02,0,Explorers of Ixalan,48,box,2017
EMA,249,Eternal Masters,249,masters,2016
EMN,208,Eldritch Moon,208,expansion,2016
